artist_name,artist_uri,album_name,album_uri,track_name,track_id,popularity,total_tracks,release_date,release_date_precision
Mississippi Babie Booman,spotify:artist:2s4gBc9VKOED1vzupvBVkt,2020 NEW Year,spotify:album:0W2cJXaCnw48BmAlTUdT5o,2020 NEW Year,0IgAIjcniqeOQ36fGVRVtl,0,1,2020-02-19,day
Daforce,spotify:artist:5hrJWqrdspww0mWHrvteuJ,Poverty & Riches,spotify:album:5JmyGq3wfBZkMVXercrz7a,The Year 2020,3ed9WdwsnhbMyCUhkFIoYR,0,11,1999-11-23,day
TattooCwag,spotify:artist:1QcqjYG78hjSukh0JklnTY,2020 NEW YEAR,spotify:album:0WebjJs2ELG57Mq9LWEHkR,2020 NEW YEAR,74UcpaEPA3iINKizbOakCz,0,1,2020-02-14,day
Bam J,spotify:artist:6tRO8SCduLTJWf2Rzfe9Mi,Year 2020 (Freestyle),spotify:album:4euUACYLd0LffV1rv53nAq,Year 2020 (Freestyle),1FMgnh29Mzt1d813VjmjPb,0,1,2020-01-02,day
Mass Guiliano,spotify:artist:2215zSdqy7OJAI4i7K3Sys,Before the Third World War...,spotify:album:35OQrHfRLuNBom8Yd4N3NS,Year 2020 Instro,2EMRiwhOMoufWfsaKxDlYi,0,12,2018-01-05,day
meija,spotify:artist:5Uc38SFcTd4bzDk3hhvRu1,New Years 2020,spotify:album:1oCvBUWwTRwltQI01ns2Ln,New Years 2020,4zsYXzwpOOJ5geIRY1mAXM,15,1,2020-01-01,day
Anabot,spotify:artist:1mNL5QjKtK9UeAwLYPMX2d,Mongrel,spotify:album:4scTLueZmrtl8tDlKYrqBa,Astronaut Yearbook 2020,5rKeUUc2hD1SoUJHZrSdgv,0,12,2017-11-14,day
YKM Brad,spotify:artist:681l2pKHFUPfD6KS2eWEzY,The Year 2020,spotify:album:1eFNIbXUwFEvCDqGmlMJfE,The Year 2020,0hyFTe8NSlUuZhvBjEs4PL,0,1,2020-03-27,day
This House of Wolf,spotify:artist:4k98msegPBdfGmERRbLRuU,The Mystery,spotify:album:1vZdFyW8msS1SyVSPqzA70,The Year 2020,6nNAwZmrwEsMautoHs8FeG,0,2,2020-01-19,day
Keon Torres,spotify:artist:2VnRd9DfJNaxEl3krgmx8d,1412,spotify:album:6owXPXUSffWAGX5dBVIV1J,The Year 2020,1aTH8PSh4VDnhdYmJI7vkB,0,17,2016-12-17,day
