,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Lil Baby,0.8073809523809524,0.5646666666666665,5.0476190476190474,-6.538214285714286,0.4523809523809524,0.2708833333333332,0.11323928571428574,2.746666666666667e-06,0.1607547619047619,0.43595952380952374,128.92964285714285,188649.64285714287,4.0
Tory Lanez,0.6355999999999998,0.6275999999999999,5.38,-6.902800000000002,0.4,0.20348800000000003,0.13826358,2.6120400000000005e-05,0.145022,0.41004200000000013,127.76899999999996,217529.24,4.14
Bazzi,0.7044736842105263,0.6208421052631579,4.684210526315789,-5.7723157894736845,0.5263157894736842,0.0789,0.2859284210526316,1.0757894736842105e-06,0.17520526315789473,0.47957894736842094,115.72047368421055,163384.47368421053,4.0
Don Toliver,0.7465454545454544,0.5895,5.636363636363637,-6.91968181818182,0.22727272727272727,0.11723636363636368,0.20923227272727277,0.015206609545454547,0.1625590909090909,0.42462272727272726,131.17340909090908,176923.9090909091,4.045454545454546
Joel Corry,0.7889,0.79075,5.05,-6.3690500000000005,0.5,0.06032,0.012754800000000002,0.32754999500000004,0.12946,0.6571999999999999,124.35004999999998,254205.45,4.0
Migos,0.8474499999999999,0.6514249999999998,5.125,-5.652375,0.6,0.20489000000000002,0.13210275000000002,1.1915500000000001e-05,0.17359750000000004,0.38874,134.42755,254835.125,4.0
Tones And I,0.67025,0.42250000000000004,6.625,-7.30475,0.5,0.08983750000000001,0.57475,0.00112265625,0.13833750000000003,0.369625,98.227375,203890.5,4.0
Pop Smoke,0.6804999999999999,0.7025769230769231,4.5,-5.603653846153847,0.5384615384615384,0.24557692307692303,0.19704230769230768,0.0015142573076923074,0.20225,0.4940384615384615,130.89811538461535,171624.23076923078,4.038461538461538
Lil Wayne,0.6892264150943397,0.6791886792452833,5.415094339622642,-5.72366037735849,0.6792452830188679,0.2563924528301887,0.13152445283018874,8.16266037735849e-05,0.2173754716981132,0.5071283018867924,122.37898113207548,244184.77358490566,3.981132075471698
Nicki Minaj,0.7238749999999999,0.6575714285714287,5.339285714285714,-6.161214285714284,0.6607142857142857,0.2136285714285715,0.1890026785714285,0.009189099642857143,0.1949803571428572,0.4393375000000001,126.25276785714287,237237.69642857142,4.017857142857143
Swae Lee,0.7388139534883721,0.6303023255813954,5.162790697674419,-6.341511627906974,0.4418604651162791,0.10535581395348832,0.1445358604651163,0.011011549767441862,0.19190697674418605,0.3884720930232558,130.41488372093028,225377.58139534883,4.023255813953488
Aitch,0.7346562499999999,0.647875,6.3125,-7.434749999999999,0.75,0.35290625,0.22349999999999998,3.6703125000000003e-06,0.11819687499999998,0.65903125,121.29475,188779.84375,4.15625
Lil Skies,0.7126944444444443,0.6434444444444443,5.583333333333333,-7.0481388888888885,0.5555555555555556,0.17057222222222224,0.1722520555555556,0.00015439916666666668,0.14648333333333335,0.48827777777777764,127.25233333333338,186072.44444444444,4.055555555555555
Russ,0.7178166666666669,0.5594166666666667,5.466666666666667,-7.128049999999999,0.48333333333333334,0.2105250000000001,0.3423276666666667,5.0413166666666674e-05,0.13327000000000003,0.4071166666666666,120.72498333333336,190367.68333333332,3.9833333333333334
Mabel,0.6698928571428571,0.6587857142857143,5.214285714285714,-5.499607142857142,0.42857142857142855,0.10250357142857143,0.25068214285714285,0.02481823571428571,0.11498214285714291,0.5306071428571428,113.0272142857143,207770.39285714287,3.892857142857143
NLE Choppa,0.76164,0.6489200000000003,5.04,-6.40292,0.68,0.27782400000000007,0.14068160000000007,1.7694399999999998e-05,0.21455600000000005,0.5171200000000001,132.38762000000003,165413.72,3.9
Ava Max,0.6706875,0.6815,4.125,-4.620374999999999,0.3125,0.063575,0.13314687499999997,2.5881250000000003e-06,0.13778125000000002,0.5124375,121.99743749999999,179228.6875,4.0
Hailee Steinfeld,0.6492727272727273,0.7072727272727273,5.5,-5.565772727272726,0.6818181818181818,0.07523636363636364,0.1206013636363636,1.6468636363636362e-05,0.1286772727272727,0.5038636363636364,121.08536363636362,205153.22727272726,4.0
Katy Perry,0.6307499999999998,0.7158999999999999,5.483333333333333,-5.320983333333334,0.65,0.05803000000000002,0.12860780833333338,6.737983333333333e-05,0.1560483333333333,0.4977983333333331,126.00759999999997,224133.35,3.9833333333333334
OneRepublic,0.5401621621621621,0.6975405405405404,4.918918918918919,-6.148513513513513,0.6756756756756757,0.05174864864864864,0.15450370270270272,1.2996486486486487e-05,0.19889189189189194,0.3825675675675677,113.02808108108107,221017.56756756757,3.945945945945946
Tame Impala,0.5041304347826088,0.7892608695652177,4.717391304347826,-5.445043478260868,0.6739130434782609,0.05300217391304347,0.15672145652173916,0.1681488426086957,0.17952826086956522,0.48695652173913034,124.81323913043478,274041.847826087,3.9347826086956523
H.E.R.,0.5465862068965518,0.48917241379310344,4.862068965517241,-8.807655172413792,0.2413793103448276,0.12254482758620691,0.3869034482758622,0.001649288275862069,0.15363793103448278,0.35345517241379315,103.18986206896551,232613.6896551724,3.9310344827586206
Madison Beer,0.6275555555555556,0.6782777777777778,5.777777777777778,-5.419222222222222,0.3888888888888889,0.11315555555555555,0.19690222222222223,8.372222222222221e-05,0.16886666666666666,0.4776111111111111,121.6365,197706.22222222222,3.9444444444444446
Stunna 4 Vegas,0.8581290322580644,0.6258709677419356,5.0,-6.552032258064516,0.7741935483870968,0.3535161290322581,0.13992483870967742,0.0009161290322580646,0.17424516129032258,0.6198064516129033,130.42600000000002,167310.87096774194,3.967741935483871
The Pussycat Dolls,0.737,0.7345416666666665,5.791666666666667,-5.210958333333335,0.625,0.08976666666666666,0.06413262500000001,0.0002590920833333333,0.24985000000000002,0.5790833333333334,125.63008333333336,224417.45833333334,4.0
Becky Hill,0.6311923076923077,0.6615769230769231,6.5,-5.987961538461538,0.34615384615384615,0.06618076923076922,0.15903753846153842,0.0027993761538461534,0.17890769230769235,0.44264615384615397,121.14288461538462,209907.6923076923,4.0
